nb_blocks,colors,positions,nb_moves
3,['blue'],"{(2, 2): <Color: blue>, (3, 2): <Color: blue>, (3, 3): <Color: blue>}",1
4,['blue'],"{(3, 0): <Color: blue>, (3, 2): <Color: blue>, (4, 0): <Color: blue>, (4, 2): <Color: blue>}",2
5,['blue'],"{(4, 5): <Color: blue>, (5, 0): <Color: blue>, (5, 2): <Color: blue>, (5, 3): <Color: blue>, (5, 5): <Color: blue>}",4
6,['blue'],"{(5, 3): <Color: blue>, (5, 4): <Color: blue>, (5, 6): <Color: blue>, (6, 3): <Color: blue>, (6, 4): <Color: blue>, (6, 6): <Color: blue>}",2
7,['blue'],"{(6, 2): <Color: blue>, (6, 4): <Color: blue>, (6, 5): <Color: blue>, (7, 1): <Color: blue>, (7, 2): <Color: blue>, (7, 4): <Color: blue>, (7, 5): <Color: blue>}",2
8,['blue'],"{(7, 2): <Color: blue>, (7, 4): <Color: blue>, (7, 6): <Color: blue>, (8, 1): <Color: blue>, (8, 2): <Color: blue>, (8, 4): <Color: blue>, (8, 6): <Color: blue>, (8, 8): <Color: blue>}",3
9,['blue'],"{(8, 2): <Color: blue>, (8, 4): <Color: blue>, (8, 5): <Color: blue>, (8, 9): <Color: blue>, (9, 2): <Color: blue>, (9, 4): <Color: blue>, (9, 5): <Color: blue>, (9, 7): <Color: blue>, (9, 9): <Color: blue>}",3
10,['blue'],"{(9, 1): <Color: blue>, (9, 3): <Color: blue>, (9, 5): <Color: blue>, (9, 9): <Color: blue>, (10, 0): <Color: blue>, (10, 1): <Color: blue>, (10, 3): <Color: blue>, (10, 5): <Color: blue>, (10, 7): <Color: blue>, (10, 9): <Color: blue>}",3
11,['blue'],"{(10, 5): <Color: blue>, (10, 6): <Color: blue>, (10, 8): <Color: blue>, (10, 9): <Color: blue>, (10, 11): <Color: blue>, (11, 3): <Color: blue>, (11, 5): <Color: blue>, (11, 6): <Color: blue>, (11, 8): <Color: blue>, (11, 9): <Color: blue>, (11, 11): <Color: blue>}",3
12,['blue'],"{(11, 3): <Color: blue>, (11, 5): <Color: blue>, (11, 6): <Color: blue>, (11, 8): <Color: blue>, (11, 9): <Color: blue>, (11, 11): <Color: blue>, (12, 3): <Color: blue>, (12, 5): <Color: blue>, (12, 6): <Color: blue>, (12, 8): <Color: blue>, (12, 9): <Color: blue>, (12, 11): <Color: blue>}",3
6,"['blue', 'red']","{(9, 5): <Color: red>, (10, 3): <Color: blue>, (10, 5): <Color: blue>, (11, 3): <Color: blue>, (11, 4): <Color: red>, (11, 5): <Color: red>}",4
7,"['blue', 'red']","{(7, 3): <Color: red>, (8, 3): <Color: blue>, (9, 3): <Color: blue>, (10, 2): <Color: red>, (10, 3): <Color: red>, (11, 2): <Color: red>, (11, 3): <Color: blue>}",2
8,"['blue', 'red']","{(8, 3): <Color: blue>, (9, 3): <Color: red>, (10, 1): <Color: red>, (10, 2): <Color: red>, (10, 3): <Color: blue>, (11, 1): <Color: red>, (11, 2): <Color: red>, (11, 3): <Color: blue>}",4
9,"['blue', 'red']","{(8, 3): <Color: blue>, (9, 3): <Color: red>, (9, 4): <Color: red>, (10, 3): <Color: blue>, (10, 4): <Color: blue>, (11, 1): <Color: blue>, (11, 2): <Color: red>, (11, 3): <Color: blue>, (11, 4): <Color: blue>}",2
10,"['blue', 'red']","{(6, 3): <Color: red>, (7, 3): <Color: red>, (8, 3): <Color: blue>, (9, 3): <Color: red>, (9, 4): <Color: blue>, (10, 3): <Color: red>, (10, 4): <Color: red>, (11, 3): <Color: blue>, (11, 4): <Color: red>, (11, 5): <Color: red>}",3
11,"['blue', 'red']","{(4, 3): <Color: blue>, (5, 3): <Color: blue>, (6, 3): <Color: red>, (7, 3): <Color: red>, (8, 3): <Color: blue>, (9, 3): <Color: red>, (10, 2): <Color: blue>, (10, 3): <Color: red>, (11, 2): <Color: blue>, (11, 3): <Color: blue>, (11, 5): <Color: blue>}",2
12,"['blue', 'red']","{(8, 2): <Color: blue>, (8, 3): <Color: blue>, (9, 2): <Color: blue>, (9, 3): <Color: red>, (10, 0): <Color: blue>, (10, 2): <Color: red>, (10, 3): <Color: blue>, (10, 5): <Color: blue>, (11, 0): <Color: blue>, (11, 2): <Color: blue>, (11, 3): <Color: blue>, (11, 5): <Color: red>}",4
